Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,7.52,8.12,21.67,37.85,44.82,146.08,251.16,284.57,161.43,98.22,21.99,11.66
1963,4.70,7.35,11.29,29.92,47.52,136.98,323.93,275.02,193.96,69.00,26.47,7.29
1964,7.65,12.76,15.10,28.71,33.57,108.59,281.75,215.37,131.57,32.56,17.72,20.66
1965,14.14,10.08,9.80,16.60,48.97,149.02,247.01,208.33,150.45,54.33,58.47,17.29
1966,9.24,5.26,43.53,25.35,36.10,155.63,293.76,246.52,153.68,41.56,12.68,37.92
1967,15.25,14.05,20.54,33.37,37.89,157.34,253.80,193.36,140.82,67.66,19.94,8.22
1968,6.12,5.82,16.41,28.16,49.21,116.40,305.53,234.25,168.88,55.39,36.61,12.50
1969,16.28,16.41,20.48,23.68,57.76,210.30,233.93,311.76,216.38,75.28,16.98,1.27
1970,10.37,13.77,10.03,37.00,66.69,204.45,221.17,264.22,156.85,92.15,13.90,9.13
1971,5.22,16.61,9.23,24.04,42.69,110.37,188.43,205.37,131.41,64.25,28.17,16.23
1972,11.09,12.52,13.51,20.85,62.30,147.47,280.70,290.11,171.68,112.41,18.04,16.05
1973,4.95,5.72,17.93,25.51,64.57,122.28,257.65,216.29,144.14,107.43,9.61,5.09
1974,11.53,13.36,17.74,18.92,51.41,182.34,282.66,257.44,245.27,108.24,23.26,3.06
1975,7.68,11.85,11.82,27.74,45.29,159.94,270.46,278.21,149.11,33.93,58.49,4.24
1976,10.64,8.84,11.21,55.00,77.78,184.90,284.13,227.46,141.47,87.32,66.93,9.45
1977,8.62,24.87,24.09,31.10,60.36,196.53,266.73,269.38,163.80,52.22,45.32,22.28
1978,15.43,28.40,10.79,23.48,44.70,153.45,220.00,232.17,154.23,49.09,71.84,12.92
1979,6.03,11.45,17.15,22.45,52.04,190.22,269.86,258.91,119.55,44.77,22.69,17.92
1980,18.96,8.94,32.35,37.07,62.45,140.58,296.11,240.40,196.47,49.55,24.79,12.85
1981,16.22,11.62,24.38,39.87,51.50,124.89,230.51,232.31,128.42,48.38,49.19,7.07
